,RegisterN,ProfileID,Rating,Choice
0,2311033,1,6,0
1,2311033,2,10,0
2,2311033,3,6,0
3,2311033,4,7,0
4,2311033,5,8,0
5,2311033,6,9,0
6,2311033,7,7,0
7,2311033,8,9,0
8,2311033,9,7,0
9,2311033,10,9,0
10,2311033,11,7,1
11,2311033,12,9,0
12,2311033,13,7,0
13,2311048,1,9,0
14,2311048,2,9,0
15,2311048,3,9,0
16,2311048,4,9,0
17,2311048,5,9,0
18,2311048,6,9,0
19,2311048,7,9,0
20,2311048,8,9,0
21,2311048,9,9,0
22,2311048,10,9,0
23,2311048,11,9,0
24,2311048,12,9,0
25,2311048,13,9,1
26,2311038,1,8,0
27,2311038,2,5,0
28,2311038,3,6,0
29,2311038,4,4,0
30,2311038,5,4,0
31,2311038,6,7,0
32,2311038,7,6,0
33,2311038,8,9,1
34,2311038,9,7,0
35,2311038,10,8,0
36,2311038,11,8,0
37,2311038,12,7,0
38,2311038,13,7,0
39,2311043,1,10,0
40,2311043,2,9,0
41,2311043,3,10,0
42,2311043,4,10,0
43,2311043,5,8,0
44,2311043,6,8,0
45,2311043,7,10,0
46,2311043,8,10,0
47,2311043,9,10,0
48,2311043,10,9,1
49,2311043,11,8,0
50,2311043,12,8,0
51,2311043,13,10,0
52,2311007,1,8,0
53,2311007,2,8,0
54,2311007,3,7,0
55,2311007,4,8,0
56,2311007,5,7,0
57,2311007,6,8,0
58,2311007,7,7,0
59,2311007,8,9,0
60,2311007,9,8,0
61,2311007,10,10,1
62,2311007,11,8,0
63,2311007,12,9,0
64,2311007,13,8,0
65,2311093,1,8,0
66,2311093,2,8,0
67,2311093,3,7,0
68,2311093,4,8,0
69,2311093,5,7,0
70,2311093,6,8,0
71,2311093,7,8,0
72,2311093,8,7,0
73,2311093,9,7,0
74,2311093,10,9,0
75,2311093,11,8,0
76,2311093,12,9,1
77,2311093,13,9,0
78,2311084,1,6,0
79,2311084,2,7,1
80,2311084,3,6,0
81,2311084,4,7,0
82,2311084,5,7,0
83,2311084,6,5,0
84,2311084,7,8,0
85,2311084,8,6,0
86,2311084,9,6,0
87,2311084,10,7,0
88,2311084,11,7,0
89,2311084,12,6,0
90,2311084,13,7,0
91,2311026,1,7,0
92,2311026,2,6,0
93,2311026,3,7,0
94,2311026,4,8,0
95,2311026,5,7,0
96,2311026,6,7,0
97,2311026,7,7,0
98,2311026,8,6,0
99,2311026,9,7,1
100,2311026,10,8,0
101,2311026,11,7,0
102,2311026,12,8,0
103,2311026,13,8,0
104,2311019,1,9,0
105,2311019,2,8,0
106,2311019,3,7,0
107,2311019,4,8,0
108,2311019,5,7,0
109,2311019,6,10,1
110,2311019,7,8,0
111,2311019,8,8,0
112,2311019,9,9,0
113,2311019,10,8,0
114,2311019,11,7,0
115,2311019,12,8,0
116,2311019,13,8,0
117,2311059,1,8,0
118,2311059,2,9,0
119,2311059,3,9,0
120,2311059,4,8,0
121,2311059,5,8,0
122,2311059,6,9,0
123,2311059,7,9,0
124,2311059,8,9,1
125,2311059,9,8,0
126,2311059,10,9,0
127,2311059,11,9,0
128,2311059,12,8,0
129,2311059,13,8,0
130,2311055,1,7,0
131,2311055,2,6,0
132,2311055,3,7,0
133,2311055,4,7,0
134,2311055,5,8,0
135,2311055,6,8,0
136,2311055,7,8,0
137,2311055,8,9,1
138,2311055,9,8,0
139,2311055,10,8,0
140,2311055,11,8,0
141,2311055,12,7,0
142,2311055,13,7,0
143,2311113,1,6,0
144,2311113,2,8,1
145,2311113,3,6,0
146,2311113,4,5,0
147,2311113,5,6,0
148,2311113,6,7,0
149,2311113,7,7,0
150,2311113,8,8,0
151,2311113,9,6,0
152,2311113,10,7,0
153,2311113,11,8,0
154,2311113,12,8,0
155,2311113,13,7,0
156,2311096,1,7,0
157,2311096,2,8,0
158,2311096,3,6,0
159,2311096,4,6,0
160,2311096,5,8,0
161,2311096,6,9,0
162,2311096,7,9,1
163,2311096,8,8,0
164,2311096,9,6,0
165,2311096,10,9,0
166,2311096,11,9,0
167,2311096,12,8,0
168,2311096,13,8,0
169,2311100,1,9,0
170,2311100,2,8,0
171,2311100,3,8,0
172,2311100,4,9,0
173,2311100,5,9,0
174,2311100,6,8,0
175,2311100,7,8,0
176,2311100,8,7,0
177,2311100,9,8,1
178,2311100,10,9,0
179,2311100,11,8,0
180,2311100,12,8,0
181,2311100,13,7,0
182,2311098,1,5,0
183,2311098,2,7,0
184,2311098,3,6,0
185,2311098,4,7,0
186,2311098,5,8,0
187,2311098,6,5,0
188,2311098,7,4,0
189,2311098,8,5,0
190,2311098,9,6,0
191,2311098,10,4,0
192,2311098,11,5,0
193,2311098,12,10,1
194,2311098,13,8,0
195,2311004,1,7,0
196,2311004,2,8,0
197,2311004,3,7,0
198,2311004,4,9,0
199,2311004,5,7,0
200,2311004,6,6,0
201,2311004,7,7,0
202,2311004,8,5,0
203,2311004,9,6,0
204,2311004,10,6,0
205,2311004,11,9,1
206,2311004,12,9,0
207,2311004,13,8,0
208,2311047,1,8,0
209,2311047,2,8,0
210,2311047,3,9,0
211,2311047,4,8,0
212,2311047,5,8,0
213,2311047,6,8,0
214,2311047,7,9,0
215,2311047,8,8,0
216,2311047,9,8,0
217,2311047,10,9,1
218,2311047,11,8,0
219,2311047,12,8,0
220,2311047,13,9,0
221,2311024,1,6,0
222,2311024,2,7,0
223,2311024,3,7,1
224,2311024,4,8,0
225,2311024,5,6,0
226,2311024,6,9,0
227,2311024,7,8,0
228,2311024,8,6,0
229,2311024,9,9,0
230,2311024,10,8,0
231,2311024,11,8,0
232,2311024,12,9,0
233,2311024,13,7,0
234,2311044,1,6,0
235,2311044,2,6,0
236,2311044,3,7,0
237,2311044,4,9,0
238,2311044,5,8,0
239,2311044,6,7,0
240,2311044,7,7,0
241,2311044,8,6,0
242,2311044,9,7,0
243,2311044,10,8,0
244,2311044,11,8,0
245,2311044,12,9,1
246,2311044,13,8,0
247,2311032,1,7,0
248,2311032,2,9,0
249,2311032,3,7,0
250,2311032,4,9,1
251,2311032,5,8,0
252,2311032,6,8,0
253,2311032,7,8,0
254,2311032,8,9,0
255,2311032,9,8,0
256,2311032,10,7,0
257,2311032,11,7,0
258,2311032,12,8,0
259,2311032,13,9,0
260,2311089,1,7,0
261,2311089,2,7,0
262,2311089,3,8,1
263,2311089,4,8,0
264,2311089,5,9,0
265,2311089,6,9,0
266,2311089,7,8,0
267,2311089,8,8,0
268,2311089,9,7,0
269,2311089,10,8,0
270,2311089,11,7,0
271,2311089,12,7,0
272,2311089,13,7,0
273,2311072,1,9,0
274,2311072,2,8,0
275,2311072,3,7,0
276,2311072,4,9,0
277,2311072,5,8,0
278,2311072,6,8,0
279,2311072,7,9,0
280,2311072,8,7,0
281,2311072,9,8,0
282,2311072,10,9,0
283,2311072,11,10,1
284,2311072,12,8,0
285,2311072,13,7,0
286,2311076,1,8,0
287,2311076,2,7,0
288,2311076,3,8,0
289,2311076,4,8,0
290,2311076,5,7,0
291,2311076,6,8,0
292,2311076,7,6,0
293,2311076,8,8,0
294,2311076,9,7,1
295,2311076,10,8,0
296,2311076,11,8,0
297,2311076,12,7,0
298,2311076,13,8,0
299,2311116,1,9,0
300,2311116,2,8,0
301,2311116,3,8,0
302,2311116,4,10,1
303,2311116,5,7,0
304,2311116,6,9,0
305,2311116,7,10,0
306,2311116,8,9,0
307,2311116,9,7,0
308,2311116,10,9,0
309,2311116,11,8,0
310,2311116,12,7,0
311,2311116,13,9,0
312,2311070,1,8,0
313,2311070,2,7,0
314,2311070,3,7,0
315,2311070,4,8,0
316,2311070,5,7,0
317,2311070,6,7,0
318,2311070,7,8,0
319,2311070,8,8,0
320,2311070,9,9,0
321,2311070,10,8,0
322,2311070,11,10,1
323,2311070,12,9,0
324,2311070,13,9,0
325,2311014,1,9,0
326,2311014,2,8,0
327,2311014,3,7,0
328,2311014,4,7,0
329,2311014,5,8,0
330,2311014,6,9,0
331,2311014,7,10,1
332,2311014,8,9,0
333,2311014,9,8,0
334,2311014,10,9,0
335,2311014,11,9,0
336,2311014,12,8,0
337,2311014,13,7,0
338,2311029,1,9,0
339,2311029,2,9,0
340,2311029,3,8,0
341,2311029,4,8,0
342,2311029,5,8,0
343,2311029,6,10,1
344,2311029,7,9,0
345,2311029,8,8,0
346,2311029,9,8,0
347,2311029,10,9,0
348,2311029,11,8,0
349,2311029,12,9,0
350,2311029,13,8,0
351,2311079,1,7,0
352,2311079,2,8,0
353,2311079,3,7,0
354,2311079,4,7,0
355,2311079,5,8,0
356,2311079,6,7,0
357,2311079,7,8,0
358,2311079,8,8,0
359,2311079,9,7,0
360,2311079,10,8,1
361,2311079,11,8,0
362,2311079,12,7,0
363,2311079,13,7,0
364,2311069,1,9,0
365,2311069,2,8,0
366,2311069,3,6,0
367,2311069,4,7,0
368,2311069,5,8,0
369,2311069,6,5,0
370,2311069,7,9,0
371,2311069,8,8,0
372,2311069,9,6,0
373,2311069,10,10,1
374,2311069,11,8,0
375,2311069,12,5,0
376,2311069,13,7,0
377,2311114,1,8,0
378,2311114,2,6,0
379,2311114,3,8,0
380,2311114,4,8,0
381,2311114,5,8,0
382,2311114,6,8,0
383,2311114,7,7,0
384,2311114,8,8,0
385,2311114,9,7,0
386,2311114,10,8,0
387,2311114,11,8,0
388,2311114,12,8,0
389,2311114,13,8,1
390,2311031,1,8,0
391,2311031,2,7,0
392,2311031,3,7,0
393,2311031,4,8,0
394,2311031,5,9,0
395,2311031,6,7,0
396,2311031,7,8,0
397,2311031,8,7,0
398,2311031,9,9,1
399,2311031,10,8,0
400,2311031,11,8,0
401,2311031,12,7,0
402,2311031,13,8,0
403,2311117,1,8,0
404,2311117,2,7,0
405,2311117,3,5,0
406,2311117,4,5,0
407,2311117,5,6,0
408,2311117,6,5,0
409,2311117,7,7,0
410,2311117,8,6,0
411,2311117,9,5,0
412,2311117,10,9,1
413,2311117,11,7,0
414,2311117,12,6,0
415,2311117,13,7,0
416,2311052,1,6,0
417,2311052,2,5,0
418,2311052,3,7,0
419,2311052,4,9,0
420,2311052,5,7,0
421,2311052,6,7,0
422,2311052,7,8,0
423,2311052,8,7,0
424,2311052,9,8,0
425,2311052,10,10,1
426,2311052,11,9,0
427,2311052,12,6,0
428,2311052,13,8,0
429,2311095,1,8,0
430,2311095,2,9,0
431,2311095,3,10,0
432,2311095,4,9,0
433,2311095,5,10,1
434,2311095,6,9,0
435,2311095,7,9,0
436,2311095,8,10,0
437,2311095,9,10,0
438,2311095,10,8,0
439,2311095,11,9,0
440,2311095,12,9,0
441,2311095,13,10,0
442,2311097,1,4,0
443,2311097,2,9,0
444,2311097,3,8,0
445,2311097,4,5,0
446,2311097,5,8,0
447,2311097,6,5,0
448,2311097,7,7,0
449,2311097,8,6,0
450,2311097,9,8,0
451,2311097,10,9,0
452,2311097,11,10,1
453,2311097,12,9,0
454,2311097,13,3,0
455,2311002,1,8,0
456,2311002,2,9,0
457,2311002,3,8,0
458,2311002,4,8,0
459,2311002,5,8,0
460,2311002,6,8,0
461,2311002,7,8,0
462,2311002,8,9,0
463,2311002,9,7,0
464,2311002,10,8,0
465,2311002,11,10,1
466,2311002,12,9,0
467,2311002,13,9,0
468,2311051,1,6,0
469,2311051,2,7,0
470,2311051,3,9,0
471,2311051,4,10,1
472,2311051,5,8,0
473,2311051,6,7,0
474,2311051,7,8,0
475,2311051,8,7,0
476,2311051,9,8,0
477,2311051,10,9,0
478,2311051,11,8,0
479,2311051,12,8,0
480,2311051,13,9,0
481,2311110,1,9,0
482,2311110,2,5,0
483,2311110,3,10,0
484,2311110,4,6,0
485,2311110,5,6,0
486,2311110,6,9,0
487,2311110,7,9,0
488,2311110,8,3,1
489,2311110,9,5,0
490,2311110,10,9,0
491,2311110,11,9,0
492,2311110,12,5,0
493,2311110,13,7,0
494,2311008,1,7,0
495,2311008,2,9,0
496,2311008,3,7,0
497,2311008,4,7,0
498,2311008,5,8,0
499,2311008,6,7,0
500,2311008,7,9,0
501,2311008,8,8,0
502,2311008,9,9,0
503,2311008,10,10,1
504,2311008,11,8,0
505,2311008,12,7,0
506,2311008,13,8,0
507,2311039,1,9,1
508,2311039,2,7,0
509,2311039,3,7,0
510,2311039,4,8,0
511,2311039,5,8,0
512,2311039,6,7,0
513,2311039,7,8,0
514,2311039,8,6,0
515,2311039,9,7,0
516,2311039,10,7,0
517,2311039,11,7,0
518,2311039,12,8,0
519,2311039,13,8,0
520,2311119,1,9,1
521,2311119,2,8,0
522,2311119,3,8,0
523,2311119,4,8,0
524,2311119,5,8,0
525,2311119,6,9,0
526,2311119,7,6,0
527,2311119,8,6,0
528,2311119,9,8,0
529,2311119,10,7,0
530,2311119,11,7,0
531,2311119,12,7,0
532,2311119,13,7,0
533,2311013,1,9,0
534,2311013,2,8,0
535,2311013,3,7,0
536,2311013,4,7,0
537,2311013,5,8,0
538,2311013,6,7,0
539,2311013,7,9,1
540,2311013,8,8,0
541,2311013,9,9,0
542,2311013,10,7,0
543,2311013,11,9,0
544,2311013,12,9,0
545,2311013,13,9,0
546,2311036,1,7,0
547,2311036,2,9,0
548,2311036,3,7,0
549,2311036,4,7,0
550,2311036,5,8,0
551,2311036,6,7,0
552,2311036,7,9,0
553,2311036,8,8,0
554,2311036,9,9,0
555,2311036,10,10,1
556,2311036,11,8,0
557,2311036,12,7,0
558,2311036,13,8,0
559,2311037,1,9,0
560,2311037,2,9,0
561,2311037,3,5,0
562,2311037,4,5,0
563,2311037,5,9,0
564,2311037,6,5,0
565,2311037,7,4,0
566,2311037,8,4,0
567,2311037,9,5,0
568,2311037,10,9,1
569,2311037,11,9,0
570,2311037,12,6,0
571,2311037,13,9,0
572,2311074,1,9,0
573,2311074,2,8,0
574,2311074,3,8,0
575,2311074,4,7,0
576,2311074,5,9,0
577,2311074,6,9,0
578,2311074,7,8,0
579,2311074,8,8,0
580,2311074,9,9,0
581,2311074,10,10,1
582,2311074,11,10,0
583,2311074,12,8,0
584,2311074,13,9,0
585,2311111,1,7,0
586,2311111,2,7,0
587,2311111,3,5,0
588,2311111,4,6,0
589,2311111,5,7,0
590,2311111,6,6,0
591,2311111,7,8,0
592,2311111,8,8,0
593,2311111,9,8,0
594,2311111,10,9,1
595,2311111,11,8,0
596,2311111,12,7,0
597,2311111,13,7,0
598,2311025,1,6,0
599,2311025,2,5,0
600,2311025,3,3,0
601,2311025,4,4,0
602,2311025,5,3,0
603,2311025,6,5,0
604,2311025,7,9,0
605,2311025,8,9,1
606,2311025,9,7,0
607,2311025,10,9,0
608,2311025,11,7,0
609,2311025,12,5,0
610,2311025,13,8,0
611,2311077,1,8,0
612,2311077,2,8,0
613,2311077,3,7,0
614,2311077,4,8,0
615,2311077,5,9,0
616,2311077,6,9,0
617,2311077,7,9,0
618,2311077,8,10,0
619,2311077,9,9,0
620,2311077,10,9,0
621,2311077,11,9,0
622,2311077,12,8,0
623,2311077,13,10,1
624,2311005,1,7,0
625,2311005,2,6,0
626,2311005,3,7,0
627,2311005,4,8,0
628,2311005,5,6,0
629,2311005,6,6,0
630,2311005,7,7,1
631,2311005,8,5,0
632,2311005,9,5,0
633,2311005,10,7,0
634,2311005,11,6,0
635,2311005,12,5,0
636,2311005,13,6,0
637,2311028,1,9,0
638,2311028,2,8,0
639,2311028,3,9,0
640,2311028,4,7,0
641,2311028,5,6,0
642,2311028,6,8,0
643,2311028,7,7,0
644,2311028,8,9,0
645,2311028,9,8,0
646,2311028,10,10,1
647,2311028,11,7,0
648,2311028,12,8,0
649,2311028,13,9,0
650,2311054,1,9,0
651,2311054,2,8,0
652,2311054,3,8,0
653,2311054,4,9,0
654,2311054,5,9,1
655,2311054,6,8,0
656,2311054,7,9,0
657,2311054,8,7,0
658,2311054,9,8,0
659,2311054,10,9,0
660,2311054,11,8,0
661,2311054,12,8,0
662,2311054,13,9,0
